智能制造事业部总经理,50-60万/年,苏州金峰物流设备有限公司,苏州-工业园区  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,年终奖金,餐饮补贴,补充医疗保险,员工旅游,定期体检,出国机会,专业培训","1.全面组织实施集团总裁的有关决议和规定，全面完成集团总裁制定的各项指标，并将实施情况向集团总裁汇报；
2.负责宣传贯彻执行国家和行业有关法律、法规、方针、政策；
3.根据集团总裁的要求确定事业部的经营方针，建立事业部的经营管理体系；
4.负责召集和主持事业部办公会议，协调、检查和督促各部的工作；
5.根据市场变化，不断调整事业部的经营方向，使事业部持续健康发展；

","要求：
1.智能仓储销售10年以上工作经验，5年以上管理工作经验，管理过100人的销售团队优先；
2.***本科以上学历，硕士以上学历尤佳，管理类相关专业；
3.优秀的外联与公关能力；
4.熟练的外语、沟通交流能力；
职能类别：
首席执行官CEO/总裁/总经理
微信分享" 
智能制造总监,30-40万/年,佛山市新豪轩门业有限公司,佛山-南海区  ,  5-7年经验  ,  本科  ,  招1人  ,  12-22发布,"包住宿,工作餐,公费旅游,公费培训,年假,年终奖,标准工时,优质企业,高新职位","1、负责统筹公司整体智能制造运营规划、系统规划和建设，通过自动化、智能化和数字化智能制造系统，建设与打造工业4.0体系。
2、制定工厂体系下的各个生产业务流程，优化现有业务流程，推动智能制造方案在生产业务流程中的落地。确保工艺生产流程的灵活性和资源的有效利用，利用动态的生产配置，实现柔性生产。
3、结合公司实际产品生产情况，提升设备的数据化、自动化、智能化水平，实现生产智能化、设备智能化。
4、了解最新的智能制造技术动态，确保公司掌握必要的技术能力，保障生产效率。

","要求：
1、本科及以上学历，机械设计与制造、自动化相关专业，5年以上的智能制造管理工作经验。
2、有大中型企业智能制造项目的统筹与推广经验，对智能制造、个性化生产定制，工业4.0有深入的理解。
3、具备良好的逻辑思维能力、沟通能力、抗压能力以及执行能力，高效的组织计划能力，创新能力突出，务实肯干。

工作地点：广东省云浮市新兴县新成工业园新豪轩科技（新兴）有限公司。
职能类别：
项目总监
关键字：
智能制造管理
微信分享"
流程高级工程师（智能制造）,30-40万/年,深圳市汇川技术股份有限公司,苏州-吴中区  ,  8-9年经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,股票期权","工作职责：
1， 制定年度流程管理规划，主导流程遵从、流程优化及成熟评估讨论及推行落地；
2， 搭建新业务流程问题或需求平台，负责收集和管理流程问题或需求闭环；
3， 梳理智能装备业务端到端流程衔接，同时对接上下游客户流程及建立外部流程关联；
4， 协同流程IT平台搭建与维护，持续提升业务规范化、可视化、易用化；
5， 负责业务流程合理性审计，度量流程绩效指标，推动流程持续优化；
6， 协助业务人员相关工作运作效率数据等分析，识别问题并推动业务部门改善；
7， 流程管理知识赋能，落地推行、培训、宣传等 
","资格： 
1， ***本科及以上学历（专业不限），不少于5年流程制定及项目开发管理工作经验；
2， 熟悉智能制造领域或IPD开发体系，有销售/供应链流程管理经验优先；
3， 熟悉流程管理方法，能够对有业务人员进行流程理念与方法的赋能；
4， 熟悉掌握项目管理工具和方法，能够统筹项目策划、目标计划制定及过程监控管理；
5， 有跨部门工作拉通、共性问题解决经验者优先，推动能力和抗压能力强；
6， 有流程落地实操经验和培训经验者优先；
7， 有良好的沟通协调和语言表达能力。
职能类别：
其他
关键字：
流程IPD
微信分享"
猎头顾问（智能制造行业）,0.6-1万/月,社宝信息科技（上海）有限公司,郑州-郑东新区  ,  3-4年经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,专业培训,补充医疗保险,员工旅游,弹性工作","①负责行业客户开发及客户委托岗位的招聘项目，与客户充分沟通，深度分析职位需求，必要时为客户提供一定的咨询或引导；
②通过各种渠道访寻候选人、行业人才mapping等访寻工作；
③面试和甄选候选人，根据客户的需求和特点，推荐合适的候选人；
④候选人入职前、中、后的跟踪服务，并为候选人提供相应的职业发展建议；
⑤与客户和候选人保持良好关系，了解市场动态，寻找和挖掘业务信息，进行业务拓展。
","要求：
①3年以上猎头从业经验，本科及以上学历；
②从事过IT/互联网行业、智能制造行业、消费品/零售行业猎头业务；
③具备较强的沟通能力、销售意识。

职能类别：
猎头/人才中介
关键字：
猎头顾问招聘顾问咨询人力资源人事
微信分享"
英诺-销售工程师（智能制造）,1.5-3万/月,伯纳激光科技有限公司,杭州-江干区  ,  3-4年经验  ,  大专  ,  招6人  ,  12-22发布,"餐饮补贴,包住宿,购买五险,加班补贴,带薪年假,节日福利,交通补贴","一、主要职责
1、为客户提供工业自动化、信息化成套解决方案，组织报价和商务谈判，并确保合同签约和回款；
2、根据区域销售指标，制定个人销售计划，完成销售季度（年度）指标；
3、掌握产品应用技能，拓展与维护客户关系，理解并引导客户需求，为客户提供成套解决方案，及时解决客户现场问题，遇重大问题及时向区域经理汇报；
4、收集潜在客户及新客户的资料或现场拜访，定期向客户了解产品的使用情况及对产品的需求，并及时汇报给区域经理；
5、做好客户回访、维护工作，及时有效的处理客户投诉，提高客户的满意度；及时跟踪货款回收情况并汇报；
6、积极了解相关行业政策、需求变化、竞争对手信息、客户反馈信息等。
二、","标准
1、电子、自动化或机械等相关专业毕业；
2、英语四级；
3、5年以上机电类设备销售经验。
4、了解驱动器、变频器，有工控行业背景知识。
5、熟悉柏楚、伟鸿、倍福、西门子和马扎克等数控系统优先。
6、有激光行业或等离子供应商销售经验优先。有数控系统相关行业经验和行业客户资源者优先。
7、熟悉市场调研、需求分析、技术宣讲和市场推广等常用业务拓展手段。
8、了解工业自动化、物联网、MES、ERP与工业云等背景知识。
三、请您关注的
1）技术优势：国际知名专家团队沉淀了比行业百亿规模企业更先进的技术优势,助力您的成长。
2）薪水您来开：我们一起敲定薪酬方案，让您的家庭生活更体面。
3）吃住穿行全解决：工作餐或餐补、宿舍或房补、夏冬工服、交通补贴或油补。
4）可持续提成：每月可持续享有新老客户的业务提成，比其它企业一次性提成更给力。
5）深度激励：多层次奖金项目，预留股权池启动上市就分配，公平对待您的付出。
6）诸多福利：精心设计的福利包，项目会逐步加码给到细致关怀，给您优质体验。
7）事业支持：充足的资源和授权信任支持，全力支持您的事业施展和价值体现，实现更多可能。
8）机会多：全国布局，快速发展机会众多，优先内部提拔。
9）灵活出勤：可协商定制您的出勤时间，兼顾您的美满生活。
10）环境优越：宽敞舒适的工作环境，愉悦和谐的工作氛围，友好互助的伙伴帮您轻松融入。
11）体贴的HR：做真实的自己，有想法随时对接HR小伙伴，***程度解决您的后顾之忧。
12）自主工作：给您充分的工作过程自主性，欢迎您参与团队决策。伯纳筑巢引凤欢迎您！
职能类别：
销售工程师
关键字：
销售工程师数控系统销售智能制造销售激光数控机床
微信分享"
整线设计工程师（智能制造）,1.5-2万/月,重庆拓新控股（集团）有限公司,重庆-荣昌区  ,  5-7年经验  ,  本科  ,  招1人  ,  12-22发布,,"1、负责公司智能制造产线研发项目的方案设计，包括智能仓储、智能运输、智能物流、智能安装等环节。
2、负责智能制造研发团队管理，带领团队完成公司建筑部品部件智能制造生产线的研发工作。
","要求：
1、***本科及以上学历，机电一体化，电气工程、智能控制、工业工程、自动化及机械类等相关专业。
2、熟悉加工制造业研发、生产、管理、物流等工艺流程。
3、熟悉智能制造相关设备的软件（ERP、视觉识别软件、机器人控制代码）及硬件结构，主持过智能制造生产系统、过程控制系统、信息系统、工业互联等项目整线的建设与开发，有5年以上的智能制造产线研发及制造项目管理经验，带领过10人以上设计研发团队。
4、逻辑能力和执行力强，以及较强的文字功底和语言表达能力；能撰写技术方案和报告，以及知识产权申报。
注：此岗位工作地点在重庆荣昌区。
职能类别：
技术研发工程师
关键字：
工程师智能化设计
微信分享"
智能制造工程师,10-15万/年,民航成都电子技术有限责任公司,成都  ,  3-4年经验  ,  本科  ,  招1人  ,  12-22发布,"交通补贴,免费班车,绩效奖金,年终奖金,定期体检,餐饮补贴","1、参与数字化车间、智能制造实验工厂的规划建设和运行工作
2、负责具体项目的建设方案、软硬件技术方案和选型、设备/系统安装调试、验收和技术培训
3、负责相关业务系统的维护、功能完善及持续优化改进
4、负责企业或行业智能制造技术的应用研究和标准/体系编制，负责相关科研项目的规划、申报和执行
5、完成领导交办的其他任务
","资格：
1、机械、机电一体化、自动化等相关专业，本科及以上学历，年龄40岁以下
2、3年以上同类岗位工作经验。具有工业自动化/精益制造/信息化行业背景与工程经验。
3、熟练使用二维、三维机械设计软件，熟悉工业领域的研发、生产、管理等业务流程，熟悉ERP、MES等制造各层级信息化系统的架构及实施过程
4、具有较强的学习、研究分析及技术文档编写能力，具有良好的沟通和团队协作能力
5、有较强的责任心，认真负责，能承受一定的工作压力
公司有完整的薪酬体系，招聘广告发布的薪酬范围仅供参与。实际定岗根据教育背景、工作经历、个人能力和面试情况确定，具体面谈，特别优秀者可破格提升。



供职部门：民航成都物流技术有限公司



民航成都物流技术有限公司是经中国民用航空局批准成立的专业从事民航物流装备制造及研发的高科技企业。其前身为中国民用航空局第二研究所物流技术分公司。现位于成都市新津工业园区新材料产业功能区新材28路南侧。

民航成都物流技术有限公司主要从事机场行李处理系统及航空货运系统的设计、研发、制造、工程安装及相关技术服务工作。目前已取得中国民用航空局颁发的年旅客吞吐量为3000万人次机场规模行李处理系统集成许可。是中国国内具有完全自主知识产权的行李自动处理系统集成商，核心能力是提供以高效可靠的机场行李传输及分拣设备、自动控制、信息管理为基础的适合国情的行李处理系统一体化解决方案。依托民航局批准建设了总投资近1.5亿的“机场行李自动分检系统产业化示范基地”。

民航成都物流技术有限公司拥有民航中青年技术带头人领军的专业研发团队，其制造提供的行李自动处理系统曾获国家科技进步二等奖及国家重点新产品认证证书。截止2011年底，民航成都物流技术有限公司具有包括北京首都国际机场、天津滨海国际机场、重庆江北国际机场，刚果（布）OLLOMBO国际机场等国内外56个机场80余个项目的工程应用经验，得到使用单位一致好评。

工作地点：成都新津工业园区（提供班车接送）

单位性质：国有

联系电话：028-82595852

联系邮箱：mhwl2003@126.com

单位地址：成都市新津工业园区新材料产业功能区新材28路南侧
职能类别：
机械工程师
关键字：
智能制造数字化车间
微信分享"
产线总监（智能制造）,3-4万/月,远大科技集团有限公司,长沙  ,  10年以上经验  ,  本科  ,  招14人  ,  12-22发布,"五险一金,免费班车,绩效奖金,包吃,包三餐,包住宿,节日福利","岗位职责：
1、负责智能工厂规划方案及智能制造项目实施方案的编制及实施，负责智能制造技术体系建立
2、对设备、生产线、车间的智能化系统总体设计
3、负责智能化生产线、设备的需求规划、工艺布局、开发设计、外购选型、调试安装、维保管理、持续改进。

","要求：
1、45岁以下，本科以上学历，工科类专业；
2、五年以上技术管理相关工作经验，熟悉智能工厂规划方案及智能制造项目实施方案的编制及实施、智能制造技术体系建立；
3、有智能化生产线、设备的需求规划、工艺布局、开发设计、外购选型、调试安装、维保管理、持续改进经验；
4、有较强应变能力，有责任心，对人热情，良好的团队合作精神。

职能类别：
工厂经理/厂长
关键字：
智能制造产线设计产线规划线体汽车总装工艺精益
微信分享"
智能化制造开发工程师,1.5-2万/月,浙江正庄实业有限公司,宁波-余姚市  ,  3-4年经验  ,  大专  ,  招1人  ,  12-22发布,"全勤奖,节日福利,餐饮补贴,加班补贴,五险,提供住宿,年终奖金,专业培训", ,"要求：
1、三年以上制造业整线智能化开发设计经验；柔性化智能化数字化生产线落地、各类输送机构，AGV,机器人，
数据采集联网等落地实施及智能化产线工艺流程优化经验。
2、具有丰富的装配、检测等产线智能化开发设计经验，熟练运用3D软件表现智能化项目模拟动作场景，并
细化3D（UG或solidwork）和2D出图；                                                                                
3、精通各类非标件选型、加工工艺及应用，熟悉各类金属和非金属材料的特性。
岗位职责：
1、负责智能化制造产线前端开发工作；
2、负责智能制造自动化产线实施过程中工艺优化等工作；
3、负责智能制造自动化开发项目的跟进与反馈工作。
职能类别：
机械工程师
关键字：
智能化设计智能化产线非标自动化自动化机械设计
微信分享"
教学总监/主任（智能制造方向）,1-1.8万/月,武汉金石兴机器人自动化工程有限公司,武汉-洪山区  ,  8-9年经验  ,  本科  ,  招1人  ,  12-22发布,"通讯补贴,餐饮补贴,员工旅游,绩效奖金,五险,年终奖金","岗位职责：
全面负责公司院校合作项目所有校区的教学管理及质量管控工作；
1、负责把控公司院校合作项目各校区的师资招聘及培训工作；
2、负责设计并不断优化教师团队的薪酬考核体系；
3、负责规划建立可复制的教学管理体系，并组织督导实施；
4、负责定期对公司教学部门各教研室组长、教研室的工作实施评估，主导部门内部的人事任免及岗位晋升；
5、负责定期组织公司教学部门各教研室开展师资培训、教学评估、教学研讨等工作；
6、负责定期对公司教学部门所有教师实施教学能力、教学方法、教学态度及教学反馈等相关情况的评估；
7、负责协调公司与各合作院校，组织并实施教学特色活动；
8、负责代表公司与合作院校各校区相关领导及职能部门对接工作；
9、负责协调及处理其他突发的教学工作。

","要求：
1、30-50岁，男女不限；
2、硕士及以上学历，工科相关专业优先，条件特别优秀的可适当降低要求；
3、了解智能制造相关行业，有机械、电气及机器人相关教学经验者优先；
4、五年及以上高校或大型培训机构高层教学管理工作经验，良好的个人口碑；
5、极强的学习能力和沟通表达协调能力；
6、对工作有极强的责任心，工作细心，抗压能力强；
7、热爱教育行业，具有教育情怀。

薪资待遇：
1、年薪18W-25W；
2、此岗位为公司核心管理岗位，拥有良好的岗位晋升通道和薪资提升空间；
3、表现优异者可优先享受公司的股权激励，公司平台内部创业；
4、除法定假日外，每年15-30天的带薪假期；
职能类别：
教研组长/主管
微信分享"
销售经理（智能制造）,1-1.5万/月,江苏西格数据科技有限公司,苏州-工业园区  ,  3-4年经验  ,  大专  ,  招1人  ,  12-22发布,"五险一金,补充医疗保险,员工旅游,专业培训,餐饮补贴,绩效奖金,弹性工作,定期体检,年终奖金","【工作职责】：
底薪范围（10000-15000）
薪资结构=底薪+绩效工资+提成+年终奖+补贴

1.完成区域月度、季度、年度销售目标；
2.潜在重点客户信息的采集、跟踪与销售，维护原有客户关系并开发拓展新的销售商机；
3. 经培训后可掌握公司软件产品的流程、特点和功能，能给客户熟练讲解和演示软件；
4. 商务谈判、积极高效推动合同签订落实，推进协调验收、收款及售后服务；


","要求：
1、***本科，自动化、机械类相关专业；
2、工业品销售3年经验以上，
3、带团队1年或以上

以下为我们优先考虑
1、企业管理软件（ERP、OA、SAP、EHR、MES、QMS、WMS、CRM、Saas、设备联网）
2、销售工业自动化设备
3、机床、刀具、刀具柜



职能类别：
区域销售总监大客户管理
关键字：
直销销售大客户汽车制造机加工机床设备刀具MESCRM汽配
微信分享"
售前顾问（智能制造项目）,1.5-3万/月,浙江用友软件有限公司,杭州  ,  5-7年经验  ,  本科  ,  招若干人  ,  12-22发布,"五险一金,餐饮补贴,通讯补贴,专业培训,员工旅游,交通补贴,绩效奖金","一、岗位职责:
1、负责用友智能制造项目的售前推进工作；
2、配合销售推进销售进程，并在不同阶段参与销售工作；
3、完成售前应用方案的编写、方案呈现与产品演示；
4、根据项目要求完成竞争分析或其他相关工作，提升客户认同度；
5、参与售前行业知识体系建设、提炼与传播，带动机构专业能力建设；

二、","要求:
1、本科及以上学历，企业管理、工业工程、财务管理、计算机及相关专业；
2、良好的表达沟通能力与文档能力；
3、有售前咨询工作经验优先考虑；有项目实施或开发经验优先。
职能类别：
项目经理售前/售后技术支持经理
微信分享"
咨询顾问（智能制造）,0.9-1.2万/月,江苏风云科技服务有限公司,苏州  ,  2年经验  ,  本科  ,  招若干人  ,  12-22发布,"五险一金,餐饮补贴,通讯补贴,年终奖金,商业保险,节日福利","岗位职责：
1.根据公司的发展方向和产品系列，分析和规划公司智能制造的总体发展规划、工作思路及相关的协作关系；
2.根据产品规划或项目需求，开展调研和分析研究，完成智能化改造项目或智能工厂/车间/产线的总体架构，完成信息化软件的落地方案和应用方案；
3.按照客户要求，提出智能工厂整体解决方案，提供智能工厂建设或改造咨询服务；
4.组织协调完成智能车间、产线的设计、规划、分析工作；
5.撰写常规研究报告、媒体文章、参与会议策划。
","要求：
1.本科及以上学历，信息化、电子信息工程、自动化、控制工程等相关专业背景优先；
2.对制造相关的业务有比较深入的了解，有智能制造、数字化制造、企业信息化规划、精益制造等项目经验的优先，有实际制造工艺背景者优先；
3.有生产计划、生产调度、自动化规划、质量管理、智能物流建设经验者优先；
4.有生产管理系统(MES)、企业资源计划（ERP）、产品全生命周期（PLM）或设备管理系统(EAM)等大型管理系统软件需求分析实践者优先；
职能类别：
咨询经理
关键字：
咨询顾问
微信分享"
HRBP（智能制造）,0.6-1.2万/月,湖北普罗劳格科技股份有限公司,黄石  ,  5-7年经验  ,  大专  ,  招1人  ,  12-22发布,"五险一金,员工旅游,餐饮补贴,通讯补贴,绩效奖金,年终奖金,定期体检","岗位职责：
1、与事业部领导搭档，了解业务战略并促进人力资源战略在所在区域的有效规划和实施；
2、帮助管理者有效管理团队：团队建设，绩效管理、文化宣导和融合，帮助发现和诊断存在的问题并协助解决；
3、协助业务团队进行人才梯队搭建，确保人员及时到位与优化配置；
4、负责HRBP政策、制度、体系与重点项目的落地与推动执行;
5、协助完成部门绩效体系的建立与实施跟进，对绩效过程进行监控，做好部门评估工作；
6、从人力资源和业务部门的双向角度，做好大量深入的员工日常沟通，营造良好的员工关系，增强企业凝聚力，保障员工稳定性；
7、严格执行落地总部人力资源管理制度。

","要求：
1、统招本科及以上学历，心理学、人力资源等相关专业优先；
2、从事人力资源8年以上，5年以上HRBP工作经验，有智能制造行业HRBP经验优先；
3、熟悉人力资源全模块工作方法及流程，熟悉最新的劳动法规及员工关系相关法律政策规定；
4、具有较强的逻辑思维能力和统筹能力，擅长过程管理，有风险控制意识；
5、具备很强的领导力、管理能力、协调能力，能够推动公司决策高效执行。
职能类别：
HRBP
关键字：
HR人事总监OD
微信分享"
产品经理（智能制造行业）,0.8-1.5万/月,青岛通产智能科技股份有限公司,青岛-城阳区  ,  5-7年经验  ,  本科  ,  招1人  ,  12-22发布,"提供工作餐,提供住宿,专业培训,年终奖金,节日福利,绩效奖金","职责描述：
1、负责行业动态收集与整理，进行市场分析、竞品分析；
2、通过定性、定量等分析方法对用户需求进行挖掘和分析；
3、负责产品规划、需求管理、产品设计及版本管理；
4、组织协调市场、研发等部门，对需求进行评估及确认开发周期；
5、跟踪项目进度，协同软硬件测试部门完成产品的测试工作；
6、负责产品运营的流程制定、协调沟通、对外合作；问题处理，对产品效果进行持续性优化和改进；
7、建立产品文档库，编写产品相关文档，编写培训教程，并为公司相关部门、用户进行产品培训、产品演示；
8、协助营销部门，提炼产品核心价值、产品卖点、产品资料，参与制定营销、运营推广方案并提供产品支持。

","要求：
1、本科及以上学历，计算机、软件、机电自动化等相关专业，5年以上相关工作经验；
2、具备极强的客户意识、产品意识，善于沟通和协调，具有强大的意志和执行力；
3、逻辑清晰，乐于分析事物本质，擅长系统地解决问题；
4、具备较强的团队协作和沟通能力，思维活跃，学习能力、适应能力强；能承担较大的工作压力；
5、具备智能设备开发经验者优先；具备软件架构师工作经验，精通交互设计，具备嵌入式智能硬件产品研发管理经验优先，
6、从事过智能机器人、人工智能研发者优先。
职能类别：
产品经理/主管
关键字：
产品经理
微信分享"
智能制造猎头顾问,6-8千/月,重庆市一亩田电子商务有限公司,重庆  ,  2年经验  ,  大专  ,  招5人  ,  12-22发布,"员工旅游,绩效奖金,五险一金,年终奖金,专业培训,周末双休","岗位职责

1、全面负责猎头项目的具体推进、执行，完成年度业务指标；

2、建立人才搜寻渠道，了解中高级人才的动态信息；

3、开发及拓展客户，了解客户潜在人才需求；

4、与客户沟通，了解客户需求信息，提供招聘方案与计划；

5、进行职位分析，制定详细的寻访方案，选择寻访渠道；

6、搜索、面试、评估、筛选及推荐候选人；

7、向客户做候选人面试安排、结果反馈、背景调查及后续跟踪服务；

8、保持与维护客户和被录用者良好的关系。



","资格

1、大专以上学历;有猎头、招聘、销售等方面经验；

2、良好的表达沟通能力和职业道德观，学习能力和独立性强，能承受较大的工作压力；

3、优良的沟通能力，对人的敏锐洞察力和判断力，工作细致，有团结协作精神。
职能类别：
猎头/人才中介
微信分享"
智能制造工程师,1-1.5万/月,桂林福达股份有限公司,桂林  ,  3-4年经验  ,  大专  ,  招若干人  ,  12-22发布,"带薪年假,五险一金,交通补贴,餐饮补贴,节日福利,专业培训,岗位基金","1、负责并参与股份公司各子公司生产装备及自动化系统软件维护、优化工作；
2、负责并参与公司智能制造系统现场设备层数据采集接口开发、CPS系统与自动化系统对接开发和服务支持；
3、负责智能制造CPS系统规划及协助实施；
4、协助规划、建设公司工业互联网内网系统等工业企业智能生产互联网工作。
","资格：
1、工业自动化或自动化系统集成等企业同等职位工作经验3年以上；
2、熟悉PLC和NC程序及相关架构设计，熟悉自动化控制原理；
3、熟悉数控系统基本原理及数据采集方法.
福利待遇：
1、六险一金：缴纳社会五项保险和住房公积金，另外缴纳意外保险。
2、岗位基金：入职满一年进入岗位基金库，享受岗位基金。
3、餐费补贴：高管高级餐厅，正科级干部以上自助餐餐厅，其他员工每天5-7元/餐的工作餐补贴。
4、交通补贴：聘用人才享有一定的车辆配置及油费补贴（4000-12000元/年补贴，不同职级不同标准）。其他员工不住公司宿舍，到秧塘工业园上班可享受交通补贴6元/天。
5、提供住房：聘用的人才、硕士每人一套二房一厅一厨一卫住房，本科生2人一套二房一厅一厨一卫住房，其他3-4人/间集体宿舍，均配备空调、热水器、床、桌椅等。
6、休假：按国家法定节假日休假，满一年后享受带薪休假。
7、评优评先：公司每年底进行优秀员工、先进工作者、劳动模范、创新标兵等先进评比，提供在职员工体检等。
8、业余活动：设有大型室内体育馆、户外篮球场、电影院、阅览室等（免费开放），不定期举办大型晚会、运动会、卡拉OK比赛、摄影比赛、板报比赛等。



微信分享"
投资经理（生物医药、智能制造、新材料）,1.5-3万/月,深圳华特尔集团有限公司,深圳-福田区  ,  3-4年经验  ,  本科  ,  招2人  ,  12-22发布,"五险一金,员工旅游,专业培训,全勤奖","1、针对公司拟定的投资方向（生物医药、半导体、智能制造、新材料等），
2、筛选、评估企业或项目，结合候选项目开展技术可行性调研、行业研究和市场调研。
3、针对投资对象实施尽职调查，进行分析和评估；
4、对投资项目进行投后的监督、管理和后期服务。
    ","要求： 
1、知名院校***研究生及以上学历。本科理工类专业，硕士、金融、经济、财会类专业的复合专业背景者优先；  
2、创业投资工作经验3-5年，主导过2个以上相关行业投资项目，能独立进行业务沟通、项目开发；  
3、具备行业前瞻性的知识结构，对产业模式和企业价值能做准确的理解判断，有产业背景者优先；  
4、有较强的财务模型能力、逻辑分析能力、和项目管理能力；  
5、务实求真，责任心和自驱力强，具备良好的自我学习更新能力、团队协作以及沟通能力。
    薪资待遇：
1、合理优厚的薪金及跟投；  
2、完善的假期组合：带薪年假、带薪病假及法定假期；  
3、齐全的福利体系及丰富多彩的员工活动：员工聚餐、节日晚会、旅游活动、优秀员工表彰活动等；   
4、多元化培训课程：带薪岗前培训，在职个人提升计划；  
5、良好晋升机会：内部转职（横向发展）、纵向提升；  
6、甲级办公室，舒适工作环境。


职能类别：
投资顾问
关键字：
投资投资经理融资
微信分享"
智能制造技术规划,1.5-2万/月,博世华域转向系统有限公司,上海  ,  2年经验  ,  本科  ,  招1人  ,  12-22发布,,"1.深度参与公司重要智能项目，针对项目牵头制定具体的先进智能技术解决方案，完善技术文档和标准；
2.对于全局性项目，逐步制定智能解决方案的平台化标准，完成模块化的封装和产品化，支持相关专利申请和获取；
3.收集研究国内外前沿的智能制造技术，定期对内部做先进制造技术分享和前期引导；
4.协调和主持公司参加国内外智能制造领域的各类评奖和荣誉申报和评比工作；
5.作为项目经理，主导具体的公司全局性智能制造项目。

","要求：
1.大学本科及以上，计算机或工业自动化背景或是工业工程，等工科背景，英语六级；
2. 具备一定工业信息化系统的产品思维；
3. 具备一定的先进制造技术开发、标准管理、知识体系管理；
4. 具备一定智能制造相关知识，了解制造系统基本原理，掌握一定的项目管理知识，具备一定的数据统计知识；
5. 熟练运用office办公软件，尤其是Excel，Powerpoint；
6. 能运用Auto CAD等相关绘图软件，对数字有敏感性，具有较好沟通技能，工作严谨细致；
7. 具备一定的精益体系知识，具备一定的推动精益水平提升的项目实施经验；并在此基础上识别数字化（自动化）机会、确定数字化（自动化）方案并推动实施，提升运营过程的数字化及自动化水平。
职能类别：
汽车项目管理
微信分享"
资深猎头顾问（智能制造/互联网/医药/金融）,1-1.5万/月,罗卡投资（广州）有限公司,广州-越秀区  ,  3-4年经验  ,  本科  ,  招若干人  ,  12-22发布,"员工旅游,专业培训,周末双休,五险一金,法定假期","一、岗位职责：
1、负责年薪20-500万人才猎寻项目的搜寻，筛选，协调，推动，解决客户的人才需求。
2、分析客户招聘需求，制定寻访方案，搜寻、面试并评估候选人，出具人才推荐报告，并为候选人提供职业发展建议。
3、与客户保持积极、有效的沟通，协助客户做好面试安排、offer谈判、背景调查等环节，促使项目顺利进行。
4、及时有效进行客户关怀，维护好客户关系，深入挖掘客户需求。
5、研究行业发展动向，收集行业内人才信息，积累人才资源库。
6、 针对目标行业，进行客户拓展工作。

二、","资格：
1、专业不限，本科及以上学历；
2、对人才招聘专业服务有浓厚兴趣，富有激情，能够在一定的压力下开展工作；
3、有销售、咨询、HR或猎头公司工作经验者优先；
4、独立性强，乐于思考，有耐心，做事不轻言放弃，善于不断寻找新的突破；
5、擅长有效沟通，具有快速、持续的学习能力，并具有一定的灵活应变性。

我们能给你的是------
愉快的工作氛围：老板Nice又直爽，同事健谈好相处，工作完全不心累 。
完善的带教体系：新人入职整月培训+月季度培训+业务主题培训+管理提升培训，持续为你指点迷津；合伙人、***百万顾问亲自给你带教。
透明公开的晋升机制：管理层坚持内部培养，Y字型上升路径，只要你够努力，从实习生到公司合伙人只要三年。
贴心的福利：周末双休+六险一金+带薪年假+绩效奖金+月度福利+生日礼物+年终旅游。别人有的我们都有，别人没有的我们也有。
诚邀您加入我们罗卡大家庭哦！
职能类别：
猎头/人才中介
关键字：
招聘猎头顾问顾问咨询
微信分享"
总监级—精益生产智能制造总监,20-40万/年,江苏恒立液压股份有限公司,常州  ,  8-9年经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,带薪年假",,"要求：
1、本科及以上学历，机械类相关专业；
2、有8年以上，具有精密机械加工行业相关精益生产管理工作经验；
3、具备大中型日企丰田精益生产推行及改善实战经验；
4、沟通协调能力强，工作主动、能高效推动工作；
5.在日资背景精密机械厂，工作超过3年以上总监级别优先。
职能类别：
工业工程师
关键字：
精益生产
微信分享"
销售经理（智能制造整体解决方案） (职位编号：001),1-2万/月,上海仪电智能科技有限公司,上海-徐汇区  ,  10年以上经验  ,  大专  ,  招5人  ,  12-22发布,"五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,出国机会,绩效奖金,年终奖金,定期体检","职位描述：
1. 负责包括但不限于制造业的新客户、渠道、大客户的开发和维护；
2. 完成公司下达的销售考核指标，驱动完成整体销售流程，包括潜客发掘、商机验证、挖掘客户需求、协助招投标、商务谈判、合同签订、回款跟踪；
3. 负责销售商机管理及客户情报收集与提报，售前/售中/售后各阶段客户关系维护，向公司及时反馈客户信息，提高客户满意度，扩大品牌影响力；
4. 与技术团队配合共同服务客户，在项目实施中协调内外部关系，保证项目顺利实施，及时完成项目收款。
 ","要求：
1. 专科及以上学历，市场营销或自动化、电子、计算机、机械工程等相关专业；
2. 10年以上智能制造领域、政府（To G）领域行业经验，5年以上销售经验，对制造业及相关行业应用有一定理解，对制造业及相关行业生态圈有深入了解，有大型项目经验者优先； 
3. 有较强的语言表达和沟通、协调能力，有良好的逻辑思维能力和高效的行动力；
4. 身体健康，乐观向上，正直坦诚，自我驱动意识，责任心、抗压性强，具备高度的团队意识和合作精神，善于协调各方资源服务目标客户；
5. 拥有制造业、政府客户优质资源者优先。

职能类别：
销售经理
关键字：
销售经理智能制造项目型销售大客户销售智能工厂信息化整体解决方案
微信分享"
